ticker,name,sector,規模区分
3048.T,ビックカメラ,小売業,TOPIX Mid400
3064.T,ＭｏｎｏｔａＲＯ,小売業,TOPIX Mid400
3086.T,Ｊ．フロント　リテイリング,小売業,TOPIX Mid400
3088.T,マツキヨココカラ＆カンパニー,小売業,TOPIX Mid400
3092.T,ＺＯＺＯ,小売業,TOPIX Mid400
3099.T,三越伊勢丹ホールディングス,小売業,TOPIX Mid400
3105.T,日清紡ホールディングス,電気機器,TOPIX Mid400
3107.T,ダイワボウホールディングス,卸売業,TOPIX Mid400
3116.T,トヨタ紡織,輸送用機器,TOPIX Mid400
3132.T,マクニカホールディングス,卸売業,TOPIX Mid400
3197.T,すかいらーくホールディングス,小売業,TOPIX Mid400
3231.T,野村不動産ホールディングス,不動産業,TOPIX Mid400
3288.T,オープンハウスグループ,不動産業,TOPIX Mid400
3289.T,東急不動産ホールディングス,不動産業,TOPIX Mid400
3291.T,飯田グループホールディングス,不動産業,TOPIX Mid400
3349.T,コスモス薬品,小売業,TOPIX Mid400
3360.T,シップヘルスケアホールディングス,卸売業,TOPIX Mid400
3382.T,セブン＆アイ・ホールディングス,小売業,TOPIX Core30
3391.T,ツルハホールディングス,小売業,TOPIX Mid400
3397.T,トリドールホールディングス,小売業,TOPIX Mid400
3401.T,帝人,繊維製品,TOPIX Mid400
3402.T,東レ,繊維製品,TOPIX Mid400
3405.T,クラレ,化学,TOPIX Mid400
3407.T,旭化成,化学,TOPIX Large70
3436.T,ＳＵＭＣＯ,金属製品,TOPIX Mid400
3549.T,クスリのアオキホールディングス,小売業,TOPIX Mid400
3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業,TOPIX Mid400
3591.T,ワコールホールディングス,繊維製品,TOPIX Mid400
3626.T,ＴＩＳ,情報・通信業,TOPIX Mid400
3635.T,コーエーテクモホールディングス,情報・通信業,TOPIX Mid400
3659.T,ネクソン,情報・通信業,TOPIX Mid400
3697.T,ＳＨＩＦＴ,情報・通信業,TOPIX Mid400
3769.T,ＧＭＯペイメントゲートウェイ,情報・通信業,TOPIX Mid400
3774.T,インターネットイニシアティブ,情報・通信業,TOPIX Mid400
3861.T,王子ホールディングス,パルプ・紙,TOPIX Mid400
3923.T,ラクス,情報・通信業,TOPIX Mid400
3941.T,レンゴー,パルプ・紙,TOPIX Mid400
3994.T,マネーフォワード,情報・通信業,TOPIX Mid400
4004.T,レゾナック・ホールディングス,化学,TOPIX Mid400
4005.T,住友化学,化学,TOPIX Mid400
4021.T,日産化学,化学,TOPIX Mid400
4042.T,東ソー,化学,TOPIX Mid400
4043.T,トクヤマ,化学,TOPIX Mid400
4045.T,東亞合成,化学,TOPIX Mid400
4061.T,デンカ,化学,TOPIX Mid400
4062.T,イビデン,電気機器,TOPIX Mid400
4063.T,信越化学工業,化学,TOPIX Core30
4088.T,エア・ウォーター,化学,TOPIX Mid400
4091.T,日本酸素ホールディングス,化学,TOPIX Mid400
4114.T,日本触媒,化学,TOPIX Mid400
4118.T,カネカ,化学,TOPIX Mid400
4151.T,協和キリン,医薬品,TOPIX Mid400
4182.T,三菱瓦斯化学,化学,TOPIX Mid400
4183.T,三井化学,化学,TOPIX Mid400
